schedule_uuid,term_code,Avg_A rate,Var_A rate,start_time,end_time,mon,tues,wed,thurs,fri,sat,sun
491146e8-6e7a-3f9d-a1f7-40c54d5e39f4,1182,1,0,600,750,false,false,false,true,false,false,false
49d3866a-d627-36a3-a3be-c26c7cdc8659,1182,1,0,840,960,true,false,false,false,false,false,false
4a02449b-4182-3ef5-bc5b-623c7827fe25,1182,1,0,510,990,false,false,false,false,false,true,false
4a3b25b8-3d4b-39e9-a293-bcf87c6ed3e4,1182,1,0,705,755,false,false,true,false,false,false,false
4a81a9e3-3ace-392a-b5d6-117b33d9ca87,1182,1,0,1185,1240,true,false,false,false,false,false,false
4a89164a-c268-3426-ac77-c3fa19b1c81b,1182,1,0,840,980,false,false,true,false,false,false,false
4b07a745-f694-3bc5-81f5-8cd55b8818af,1182,1,0,790,865,false,true,false,true,false,false,false
4b25c339-dcc3-38d9-bdab-20dea970eced,1182,1,0,810,1050,false,false,true,false,false,false,false
4c96e2a6-913f-38d1-9422-256e6092950a,1182,1,0,725,775,false,true,false,false,false,false,false
4cb6778e-9f9d-3052-a141-266e77e78338,1182,1,0,480,1050,true,true,true,true,true,false,false
4d08ad6f-0be4-3f48-b600-a37f99119446,1182,1,0,720,870,false,false,true,false,false,false,false
4df5f773-1ebe-332f-bbca-da16320010f9,1182,1,0,600,750,true,false,true,false,false,false,false
4e427a2d-5129-3527-9cec-b5c0845a8443,1182,1,0,870,1020,false,false,false,false,true,false,false
4ee0cb8d-4dff-3eed-b8f7-c41b5e8c518a,1182,1,0,865,990,false,false,false,true,false,false,false
4ee2d4a2-59cc-3793-a910-de3d532e5db9,1182,1,0,720,830,false,false,true,false,false,false,false
4f4cdf28-2906-335e-89c4-1e83ff26ae9a,1182,1,0,810,960,false,false,true,false,false,false,false
508a00db-3ded-33f8-9d6a-719f9f40d833,1182,1,0,780,930,false,false,false,false,true,false,false
50b3192f-1b93-3a83-911f-ffb1a4603607,1182,1,0,750,850,false,true,false,false,false,false,false
51749b18-ef58-3f31-a91d-7d49921392ba,1182,1,0,600,720,true,false,true,false,false,false,false
5193c0a3-3b0e-30e1-9d3b-ab57230cf734,1182,1,0,595,710,false,false,false,true,false,false,false
52065a0d-3e5d-3afd-bc68-78dc32fc7141,1182,1,0,510,645,true,false,true,false,false,false,false
522035e5-e792-3ac3-92cd-3b17a8314a3c,1182,1,0,720,840,false,false,true,false,false,false,false
52221cbc-1d34-3717-9c45-8aa28a300f6f,1182,1,0,530,650,false,true,false,false,false,false,false
5295240a-42e8-395f-98cd-9f104507ce0f,1182,1,0,1020,1080,false,false,true,false,false,false,false
52bc99bf-44cc-381a-a96e-471a24bc2619,1182,1,0,600,750,false,false,true,false,false,false,false
54352d12-0c7d-33c9-9db8-dc677498b1b7,1182,1,0,540,660,true,false,true,false,false,false,false
54b218b6-7299-3f6f-ad1a-849f1070890b,1182,1,0,960,1005,false,true,false,true,false,false,false
55a1659e-66b5-344c-b1da-44e27d3094c8,1182,1,0,800,950,false,false,false,false,true,false,false
55beb2f0-5cab-3295-afd5-283e018a5799,1182,1,0,795,975,true,false,false,false,false,false,false
5609dcdb-4755-3050-89cf-6e2e13fa9851,1182,1,0,865,995,true,false,false,false,false,false,false
566badf2-c44f-3e49-b372-717a38eff241,1182,1,0,870,920,false,true,false,true,false,false,false
56f5e8ec-6e07-3bb3-b133-04d204f53d3d,1182,1,0,465,645,true,false,false,false,false,false,false
570f30f0-08b2-3e9e-bb8e-0939905ad8ad,1182,1,0,480,660,false,false,true,false,false,false,false
579f1d0f-bef2-38a7-8f2d-26e4a72f75e0,1182,1,0,570,645,true,false,true,false,true,false,false
58f37e52-d8f2-3423-b41e-8f3696bdca36,1182,1,0,1125,1180,true,false,false,false,false,false,false
590746f1-1b64-31d3-8ac6-e2fb35917561,1182,1,0,555,720,false,false,true,false,false,false,false
59074ffa-6044-36ef-bf85-6b0610c35de0,1182,1,0,1095,1215,true,false,false,false,false,false,false
5940ce76-016f-3352-8e46-4e17940b69c3,1182,1,0,780,840,false,false,true,false,false,false,false
5a8c39c6-942a-3632-9b51-1e9327d9dd51,1182,1,0,600,675,true,false,false,false,false,false,false
5aabc863-bf36-328b-b55c-dd9dbd4c6b5e,1182,1,0,990,1065,false,true,false,true,false,false,false
5abae7e8-d33a-353e-81b3-d2976331e5b1,1182,1,0,1110,1200,true,false,false,false,false,false,false
5affbfa4-f3f1-3eb6-b8b4-93681a23b990,1182,1,0,660,775,false,false,false,false,true,false,false
5c312d50-8edb-3212-89ab-fa8079980d78,1182,1,0,1050,1140,true,false,false,false,false,false,false
5daca092-36fa-3c34-b53e-3f0a8203ff7b,1182,1,0,975,1155,false,true,false,false,false,false,false
5dd03d72-8a43-3a5a-8c69-5fa15d0533fa,1182,1,0,465,645,true,false,false,true,false,false,false
5df4db46-f62d-326a-aa5f-a8e881dadae4,1182,1,0,675,840,false,true,false,false,false,false,false
5e49d620-df9f-38f5-962b-f268743c6887,1182,1,0,600,710,true,false,true,false,false,false,false
5f2269c7-b366-369e-9533-2d6c0dac56f6,1182,1,0,1080,1195,false,false,false,true,false,false,false
5f6aaf65-e952-3c11-9213-1c31c1d69ad2,1182,1,0,540,645,false,false,false,true,false,false,false
5feea14b-fb37-3646-9745-6012525c0d9e,1182,1,0,510,585,false,true,false,true,false,false,false
60a8ad16-7753-35b0-b8a9-5e66b3c7d9b6,1182,1,0,960,1050,false,false,true,false,false,false,false
60aeae1f-7f9b-3fbb-abe1-6459ed6be691,1182,1,0,1065,1260,false,false,false,true,false,false,false
63ae16ef-59ba-3ec6-9715-0cb89bf05046,1182,1,0,975,1095,true,false,false,false,false,false,false
6430af59-c71e-346b-8ed7-e1972b08a7f7,1182,1,0,540,660,true,false,false,false,false,false,false
64432858-8a93-3f99-a14a-a8ee9deb26b4,1182,1,0,660,810,false,false,false,true,false,false,false
64e4ff2d-1d2d-38b4-8fe7-0074fe81c4d9,1182,1,0,510,720,false,false,false,true,false,false,false
65293a67-38cd-3be3-ab74-cc85a8b36349,1182,1,0,930,1080,false,false,false,true,false,false,false
65390f05-933a-3b05-bd0e-158ddcb651bc,1182,1,0,600,900,false,false,false,false,false,true,false
6542dda9-9c1e-3676-a013-400099199c7a,1182,1,0,1000,1120,false,false,false,true,false,false,false
65fbe9ad-0468-38cb-acb6-7b61138d7df0,1182,1,0,990,1040,true,false,false,false,false,false,false
660c25ac-0e86-39ba-809b-720c0a98e669,1182,1,0,930,1010,true,false,true,true,false,false,false
661d2b6b-8853-3226-9586-5c8020e33993,1182,1,0,725,780,false,true,false,false,false,false,false
66bbe453-67d3-352e-a32b-1d71ae078085,1182,1,0,785,905,false,false,true,false,false,false,false
66f64cf2-9b53-38a9-8f7c-d44e82ae4c7d,1182,1,0,960,1020,false,false,false,true,false,false,false
670c24ec-ca4c-3fb2-b1ee-e8f3058515d9,1182,1,0,780,900,false,false,true,false,false,false,false
683a1b43-1ffe-3abe-b2ac-c423403b343d,1182,1,0,480,530,true,false,true,false,false,false,false
691c866f-4abe-3296-9671-16d441714216,1182,1,0,870,990,false,false,false,true,false,false,false
6937c6bd-8f07-378a-ae12-69d280a5c119,1182,1,0,630,705,false,false,false,false,true,false,false
69bdb5d6-8250-3d06-98dc-b10c54eb1b38,1182,1,0,660,780,false,false,true,false,false,false,false
69d77137-ef0b-3d1f-b3bb-6bce67e4be34,1182,1,0,720,840,false,false,false,true,false,false,false
6a1dcd58-641b-394e-8648-3907a2ce532a,1182,1,0,530,645,false,false,false,true,false,false,false
6a69360d-c2f6-3fe9-adf7-c9161b864461,1182,1,0,1080,1320,false,true,false,false,false,false,false
6aff3908-78c1-32a9-b02c-074d3f2bccfc,1182,1,0,630,685,true,false,true,false,true,false,false
6b6a530d-834f-313c-a9a0-b7dda44eddaa,1182,1,0,995,1070,true,false,true,false,true,false,false
